osm_id,osm_type,name,lat,lon,phone,type,city,state,address,opening_hours,website,source
843831393,way,Ayodhya Kotwali,26.798751,82.204581,,police,,,,,,overpass
7871596767,node,Ayodhya Police Station,26.798845,82.204578,,police,,,,,,overpass
207376649,way,Azad Maidan Police Station,18.941556,72.832942,,police,,,,,,overpass
800495753,way,Azhikkal Coastal Police Station,11.943317,75.311292,+914972771093,police,,,Fisheries Harbour Road,,,overpass
652361801,way,Azhikode Coastal Police Station,10.188585,76.171649,,police,,,,,,overpass
13001849060,node,B-2 R.S.Puram police station,11.005326,76.950031,+914222476869,police,,,,,,overpass
11149524311,node,B-Division,21.525720,70.460121,,police,,,,,,overpass
1076586613,way,B1 North Beach Police Station,13.089922,80.290458,,police,,,,,,overpass
1116154383,way,B1 North Beach Police Station,13.096622,80.291512,,police,,,,,,overpass
1474803271,node,B1 POLICE STATION,10.992485,76.959131,,police,,,,,,overpass
339282419,node,B1 Saint Thomas Mount PS,12.999121,80.200262,,police,,,,,,overpass
9121736851,node,B2 Kalapet PS,12.031217,79.864001,,police,,,,,,overpass
2296700944,node,B2 Police Station,10.822820,78.682729,,police,,,,,,overpass
1029921184,way,B4 Taluk Police Station,11.936680,79.506641,,police,,,,,,overpass
5692259731,node,B6 Kandamangalam Police Station,11.918972,79.678575,,police,,,,,,overpass
133739505,way,B9 Saravanampatty Police Station,11.074717,77.002710,0422 – 2666445,police,,,,,,overpass
5224113727,node,BAGDA POLICE STATION,23.186413,88.855958,,police,,,Helenha,,,overpass
495678637,way,BEML Police Station,12.979370,78.238688,,police,,,,,,overpass
844928123,way,BERHAMPORE POLICE STATION,24.096371,88.259097,,police,,,,,,overpass
5506320530,node,BKC Police Station,19.064515,72.860341,,police,,,,,,overpass
8836307209,node,BLW Police Chauki,25.283516,82.955392,,police,,,,,,overpass
1337331154,way,BS-1 Vellore South Police Station,12.916405,79.132812,,police,,,,,,overpass
4292073591,node,BSF,23.499670,72.380236,,police,,,Ahmedabad Palanpur State Highway SH41,,,overpass
1816331548,node,BSK 3rd stage Police Station,12.923555,77.553333,,police,,,,,,overpass
2529065771,node,Baba Haridas Nagar Police Station,28.628936,76.966682,,police,,,,,,overpass
3455112239,node,Bachhawara,25.581109,85.893373,,police,,,,,,overpass
4273093200,node,Bada Bazar  Chauki,25.244926,79.131674,,police,,,,,,overpass
461856878,way,Badamba Police Station,20.419073,85.345185,,police,,,,,,overpass
7138559487,node,Badarpur Police Station,24.869599,92.557027,03843268122,police,,,"badarpur, dist karimgang, assam",,,overpass
2459481799,node,Badavane Police Station,14.464896,75.919979,,police,,,,,,overpass
8190420428,node,Badgaon Police Station,29.708877,77.530046,,police,,,,,,overpass
2449734722,node,Badhamkar Mark Police Station,18.960821,72.817067,,police,,,,,,overpass
1482180036,node,Badlapur Police Station.,19.157600,73.239640,,police,,,,,,overpass
1474293182,node,Bagalkot Police station,16.181251,75.691798,,police,,,,,,overpass
1187884325,way,Bagaluru Police Station,13.140103,77.670434,,police,,,,,,overpass
1754861237,node,Bagayam Police Station,12.875751,79.133696,,police,,,,,,overpass
2454270956,node,Baguiati Police Station,22.620372,88.425417,,police,,,,,,overpass
13382986751,node,Baidyanathpur Police station,19.305675,84.805786,,police,,,,,,overpass
6726978271,node,Baijnath Police Station,32.041799,76.640771,,police,,,,,,overpass
353192704,way,Bail Bazar Police Station,19.085294,72.881064,,police,,,,,,overpass
10807411702,node,Bairabi Police Station,24.192909,92.538836,8974687205,police,,,,,,overpass
1354126975,way,Baiyyapannahalli Police Station,12.991735,77.657343,,police,,,,,,overpass
743687195,way,Bajajnagar Police Station,21.125868,79.068769,,police,,,,,,overpass
2289023583,node,Balagandharva Police Station,18.522236,73.847842,,police,,,,,,overpass
11235460866,node,Bambooflat Police Station,11.704919,92.715301,,police,,,,,,overpass
1074587237,way,Banakal Police Station,13.137457,75.554538,,police,,,,,,overpass
2123630629,node,Banashankari Police Station,12.922912,77.565005,,police,,,,,,overpass
1366656620,way,Banaswadi Police Station,13.019673,77.640156,,police,,,,,,overpass
10793547238,node,Bandhavgarh Police Chowki,23.721816,81.018062,,police,,,,,,overpass
9103533318,node,Bandhbahal Police Outpost,21.745145,83.869350,,police,,,,,,overpass
1334676842,way,Bandra Police Station,19.055910,72.835740,,police,,,,,,overpass
356258967,way,Bandra Railway Police Station,19.055634,72.839818,,police,,,,,,overpass
1428230096,way,Bandra Reclamation Police Station,19.050769,72.829924,,police,,,,,,overpass
652054928,way,Baner Police Station,18.568659,73.774897,,police,,,,,,overpass
359965195,way,Banjara Hills Police Station,17.422399,78.435741,,police,,,,,,overpass
6444375885,node,Bankapura Police Station,14.914951,75.270790,,police,,,,,,overpass
8292679281,node,Bankura Mahila Thana,23.228748,87.065326,,police,,,,,,overpass
